100
0	1	17	0
0	2	19	2
0	4	11	1
0	5	24	1
0	6	12	2
0	8	17	2
0	14	0	0
0	15	23	2
0	16	20	2
0	17	12	2
0	19	1	2
0	20	0	1
0	24	21	1
0	31	10	2
0	39	12	0
0	40	29	0
0	41	19	0
0	43	27	1
0	45	13	0
0	47	4	2
0	50	20	2
0	53	11	2
0	55	3	2
0	56	8	2
0	57	20	1
0	62	28	2
0	65	15	2
0	66	0	1
0	67	17	1
0	70	6	2
0	72	6	0
0	73	2	2
0	76	7	0
0	78	17	0
0	80	7	2
0	81	16	2
0	82	9	0
0	84	20	1
0	87	20	1
0	89	0	1
0	94	0	1
0	95	11	0
0	96	19	1
0	98	24	0
1	0	17	0
1	2	24	1
1	5	22	1
1	6	28	1
1	12	17	2
1	17	9	0
1	22	4	1
1	23	0	1
1	24	22	2
1	28	11	1
1	29	0	1
1	31	7	1
1	34	26	2
1	36	13	1
1	37	14	0
1	39	3	0
1	40	0	2
1	42	14	0
1	44	17	2
1	50	8	0
1	53	17	1
1	55	24	1
1	56	3	1
1	57	29	2
1	58	16	2
1	59	22	0
1	62	19	1
1	63	7	2
1	71	10	0
1	73	22	1
1	77	22	0
1	79	27	1
1	80	13	2
1	81	17	1
1	84	16	2
1	87	12	2
1	88	4	2
1	89	1	1
1	91	16	0
1	92	11	2
1	93	3	1
1	97	17	2
2	0	19	2
2	1	24	1
2	3	0	2
2	4	23	0
2	8	2	0
2	9	2	0
2	14	20	1
2	16	24	2
2	19	12	1
2	21	28	1
2	22	7	1
2	23	23	1
2	25	25	2
2	27	26	2
2	28	25	2
2	29	15	0
2	31	28	1
2	32	19	2
2	37	22	2
2	39	3	0
2	40	6	2
2	43	24	2
2	45	25	2
2	48	2	1
2	50	12	2
2	51	5	2
2	52	1	0
2	55	14	1
2	57	23	1
2	58	4	2
2	59	12	2
2	60	20	1
2	62	16	1
2	63	6	1
2	65	26	1
2	66	1	2
2	67	21	0
2	68	17	1
2	70	26	2
2	71	1	1
2	74	18	1
2	76	24	1
2	77	5	2
2	78	0	0
2	80	19	1
2	84	6	2
2	85	19	0
2	90	22	1
2	91	19	1
2	92	4	1
2	93	0	1
2	94	28	1
2	97	26	1
2	98	28	2
2	99	27	1
3	2	0	2
3	4	6	0
3	5	19	0
3	6	7	0
3	8	23	2
3	10	19	1
3	11	10	2
3	16	20	0
3	17	9	2
3	19	14	1
3	23	2	0
3	24	26	1
3	29	16	0
3	31	3	2
3	32	10	2
3	33	18	2
3	34	1	2
3	37	0	0
3	38	23	2
3	39	5	2
3	41	17	0
3	43	7	0
3	44	9	1
3	45	28	2
3	46	24	2
3	47	15	0
3	52	6	0
3	54	12	0
3	58	1	0
3	61	28	0
3	71	12	1
3	72	7	2
3	74	24	2
3	75	1	1
3	76	15	2
3	78	28	2
3	79	9	0
3	80	12	0
3	81	24	1
3	85	15	0
3	86	8	2
3	87	16	0
3	88	3	2
3	89	21	1
3	92	23	2
3	93	24	2
3	94	28	0
3	96	12	2
4	0	11	1
4	2	23	0
4	3	6	0
4	6	16	0
4	7	20	2
4	8	7	0
4	11	25	0
4	12	11	1
4	15	22	2
4	17	15	2
4	19	24	0
4	22	8	0
4	24	12	0
4	26	18	2
4	31	19	2
4	32	4	0
4	33	3	0
4	34	2	2
4	36	12	2
4	39	11	1
4	40	26	2
4	42	29	2
4	45	0	2
4	47	16	1
4	49	14	0
4	51	24	1
4	53	25	1
4	54	28	1
4	55	29	2
4	58	2	0
4	59	6	0
4	60	3	1
4	62	24	1
4	65	12	1
4	68	11	1
4	69	1	2
4	71	3	1
4	72	15	2
4	77	15	1
4	78	6	1
4	79	29	0
4	80	24	1
4	84	21	0
4	85	16	2
4	91	7	1
4	94	26	0
4	97	26	0
4	99	11	1
5	0	24	1
5	1	22	1
5	3	19	0
5	6	8	2
5	7	5	1
5	9	20	0
5	10	1	2
5	14	5	0
5	17	1	1
5	18	10	2
5	19	3	0
5	20	10	0
5	21	21	0
5	22	27	0
5	23	6	1
5	25	22	2
5	26	21	1
5	27	7	0
5	28	23	1
5	29	19	1
5	30	29	0
5	31	24	0
5	32	0	1
5	33	19	0
5	35	8	0
5	37	10	1
5	40	1	2
5	41	25	1
5	42	2	0
5	45	8	2
5	46	3	1
5	47	20	2
5	48	7	2
5	50	19	2
5	51	5	2
5	53	1	2
5	56	19	2
5	57	7	2
5	59	15	2
5	62	21	1
5	66	22	2
5	67	1	2
5	68	7	2
5	69	2	2
5	70	20	1
5	71	18	1
5	72	9	0
5	73	28	1
5	74	3	2
5	76	19	2
5	81	23	0
5	85	5	2
5	86	3	1
5	88	25	1
5	89	14	1
5	93	9	2
5	94	16	0
5	95	18	1
5	97	15	1
5	99	19	2
6	0	12	2
6	1	28	1
6	3	7	0
6	4	16	0
6	5	8	2
6	7	7	1
6	8	10	0
6	14	20	2
6	16	7	0
6	17	9	0
6	18	27	2
6	19	26	2
6	22	23	0
6	27	10	2
6	30	16	0
6	31	17	2
6	33	2	0
6	35	5	1
6	36	11	2
6	37	10	0
6	43	21	1
6	44	26	0
6	46	8	2
6	47	11	1
6	48	2	1
6	51	9	1
6	53	27	0
6	56	16	0
6	57	0	0
6	60	3	1
6	63	5	2
6	64	9	2
6	67	18	0
6	68	17	1
6	69	17	0
6	71	9	2
6	72	14	2
6	74	4	0
6	75	14	2
6	76	28	0
6	77	3	1
6	78	18	0
6	80	24	1
6	81	28	1
6	83	4	0
6	85	11	2
6	86	27	1
6	89	2	1
6	90	12	1
6	94	0	2
6	95	17	2
6	97	23	1
6	99	11	0
7	4	20	2
7	5	5	1
7	6	7	1
7	8	12	2
7	9	29	2
7	10	23	0
7	11	6	1
7	13	4	2
7	14	11	2
7	15	0	1
7	20	5	2
7	21	2	0
7	22	10	0
7	24	26	0
7	25	9	2
7	26	7	0
7	27	27	2
7	29	24	0
7	30	2	2
7	31	12	0
7	32	17	2
7	33	19	0
7	34	20	0
7	37	25	2
7	38	24	0
7	42	9	2
7	44	22	2
7	46	13	1
7	50	4	1
7	51	13	0
7	52	13	2
7	58	7	1
7	59	24	1
7	60	18	1
7	64	21	2
7	66	25	1
7	68	24	0
7	71	3	1
7	73	20	0
7	76	12	0
7	80	29	2
7	81	12	1
7	83	13	0
7	85	3	0
7	87	8	1
7	88	22	0
7	91	4	1
7	92	10	0
7	93	15	0
7	96	23	2
7	97	20	1
7	99	5	2
8	0	17	2
8	2	2	0
8	3	23	2
8	4	7	0
8	6	10	0
8	7	12	2
8	9	24	1
8	11	29	0
8	12	19	0
8	13	14	2
8	15	14	0
8	17	5	1
8	20	16	2
8	21	5	0
8	22	5	1
8	23	0	1
8	27	27	2
8	28	5	1
8	29	9	1
8	33	28	2
8	38	21	1
8	39	19	2
8	40	9	1
8	41	1	0
8	42	3	1
8	46	3	2
8	47	10	0
8	48	18	0
8	50	23	2
8	54	24	2
8	55	25	2
8	56	29	0
8	60	19	1
8	64	15	0
8	67	19	1
8	70	21	2
8	72	20	0
8	75	25	2
8	77	0	2
8	85	4	0
8	86	18	0
8	88	7	0
8	89	18	1
8	90	1	1
8	91	21	2
8	93	3	1
8	96	3	1
8	97	6	0
8	98	12	2
8	99	19	2
9	2	2	0
9	5	20	0
9	7	29	2
9	8	24	1
9	10	9	2
9	14	9	0
9	15	23	2
9	17	11	0
9	18	18	2
9	21	6	1
9	23	14	0
9	25	23	0
9	28	15	2
9	32	24	0
9	33	1	1
9	35	23	1
